0;1
C1::mupriscila;Partage_ADM
C1::ricardo;Partage_ADM
C1.01.07::pcrodrigo;Partage_ADM
C1.04.01::njosiane;Partage_ADM
C1.04.01::OP001ccelso;Partage_ADM
C1.04.01.03::sdaiane;Partage_ADM
C1.01.07.02::rodrigo.andrade;Partage_ADM
C1.01.07.01::lrichard;Partage_ADM
C1.01.08::gmarco;Gestão_S|SE
C1.01.09::gfernanda;Gestão_NE
C1.03.10.35::rmauricio;Gestão_N|CO
C1.01::sqbruno;Partage_ADM
C1.01::npupo;Partage_ADM
C1.01::mjulio;Partage_ADM
C1.01.04::canaguiomar;Partage_ADM
C1.01.04::smarcia;Partage_ADM
C1.01.04::ssarah;Partage_ADM
C1.01.04.02::ldafne;PSCG
C1.01.04.02::ldafne;PSMO
C1.01.04.02::ldafne;PSAR
C1.01.04.02::ldafne;PNSN
C1.01.04.03::mjanaina;PSRG
C1.01.04.03::mjanaina;PSSG
C1.01.04.03::mjanaina;PSBE
C1.01.04.03::mjanaina;PSJS
C1.01.04.04::debora.viana;PSMA
C1.01.04.04::debora.viana;PSPA
C1.01.04.04::debora.viana;PSPC
C1.01.04.04::debora.viana;S3A
C1.03.06.03.01::OP001qheli;PSPA
C1.03.06.03.01.02::faniribeiro7;PSPA
C1.03.06.03.01.02::channah;PSPA
C1.03.06.03.01.02::bwarmeson;PSPA
C1.03.06.03.01.01::qluciana;PSPA
C1.03.06.03.01.01::mvinicius;PSPA
C1.03.10.3::lpatrick;S3A
C1.03.09.13::lpatrick;S3A
C1.01.12::OP001cotavio;Partage_ADM
C1.01.12::jwagner;Partage_ADM
C1.01.10.3::rmariana;Partage_ADM
C1.01.10.1::OP001landre;Partage_ADM
C1.01.10.1::nthiago;Partage_ADM
C1.01.10::geduardo;Partage_ADM
C1.01.06::garthur;Partage_ADM
C1.01.06::rkatyusia;Partage_ADM
C1.01.06::apaula;Partage_ADM
C1.03.09.07::vago.cotavio;Partage_ADM
C1.01.10.4::vgabriela;Partage_ADM
C1.01.10.2::ckaio;Partage_ADM
