0;1;2
C1::mupriscila;1;
C1::mupriscila;2;
C1::mupriscila;3;
C1::mupriscila;4;
C1::mupriscila;5;
C1::mupriscila;6;
C1::mupriscila;7;
C1::mupriscila;8;
C1::mupriscila;9;
C1::mupriscila;10;
C1::ricardo;1;
C1::ricardo;2;
C1::ricardo;3;
C1::ricardo;4;
C1::ricardo;5;
C1::ricardo;6;
C1::ricardo;7;
C1::ricardo;8;
C1::ricardo;9;
C1::ricardo;10;
C1.01.07::pcrodrigo;1;80.84
C1.01.07::pcrodrigo;2;80.44
C1.01.07::pcrodrigo;3;99.34
C1.01.07::pcrodrigo;4;97.42
C1.01.07::pcrodrigo;5;94.54
C1.01.07::pcrodrigo;6;88.55
C1.01.07::pcrodrigo;7;88.22
C1.01.07::pcrodrigo;8;104.24
C1.01.07::pcrodrigo;9;99.92
C1.01.07::pcrodrigo;10;95.25
C1.04.01::njosiane;1;52.69
C1.04.01::njosiane;2;52.39
C1.04.01::njosiane;3;51.72
C1.04.01::njosiane;4;49.43
C1.04.01::njosiane;5;71.42
C1.04.01::njosiane;6;46.17
C1.04.01::njosiane;7;46.15
C1.04.01::njosiane;8;100.22
C1.04.01::njosiane;9;80.23
C1.04.01::njosiane;10;78.54
C1.04.01::OP001ccelso;1;
C1.04.01::OP001ccelso;2;
C1.04.01::OP001ccelso;3;
C1.04.01::OP001ccelso;4;
C1.04.01::OP001ccelso;5;
C1.04.01::OP001ccelso;6;
C1.04.01::OP001ccelso;7;
C1.04.01::OP001ccelso;8;
C1.04.01::OP001ccelso;9;
C1.04.01::OP001ccelso;10;
C1.04.01.03::sdaiane;1;56.0
C1.04.01.03::sdaiane;2;56.0
C1.04.01.03::sdaiane;3;56.0
C1.04.01.03::sdaiane;4;56.0
C1.04.01.03::sdaiane;5;79.95
C1.04.01.03::sdaiane;6;56.0
C1.04.01.03::sdaiane;7;78.68
C1.04.01.03::sdaiane;8;101.98
C1.04.01.03::sdaiane;9;102.15
C1.04.01.03::sdaiane;10;102.24
C1.01.07.02::rodrigo.andrade;1;77.61
C1.01.07.02::rodrigo.andrade;2;77.71
C1.01.07.02::rodrigo.andrade;3;77.48
C1.01.07.02::rodrigo.andrade;4;75.81
C1.01.07.02::rodrigo.andrade;5;75.13
C1.01.07.02::rodrigo.andrade;6;98.11
C1.01.07.02::rodrigo.andrade;7;99.44
C1.01.07.02::rodrigo.andrade;8;100.76
C1.01.07.02::rodrigo.andrade;9;77.14
C1.01.07.02::rodrigo.andrade;10;58.86
C1.01.07.01::lrichard;1;40.0
C1.01.07.01::lrichard;2;58.67
C1.01.07.01::lrichard;3;58.0
C1.01.07.01::lrichard;4;77.33
C1.01.07.01::lrichard;5;77.33
C1.01.07.01::lrichard;6;95.81
C1.01.07.01::lrichard;7;85.33
C1.01.07.01::lrichard;8;65.33
C1.01.07.01::lrichard;9;65.33
C1.01.07.01::lrichard;10;65.33
C1.01.08::gmarco;1;
C1.01.08::gmarco;2;
C1.01.08::gmarco;3;
C1.01.08::gmarco;4;
C1.01.08::gmarco;5;
C1.01.08::gmarco;6;
C1.01.08::gmarco;7;
C1.01.08::gmarco;8;
C1.01.08::gmarco;9;
C1.01.08::gmarco;10;
C1.01.09::gfernanda;1;97.88
C1.01.09::gfernanda;2;93.75
C1.01.09::gfernanda;3;115.15
C1.01.09::gfernanda;4;87.54
C1.01.09::gfernanda;5;82.73
C1.01.09::gfernanda;6;80.86
C1.01.09::gfernanda;7;82.55
C1.01.09::gfernanda;8;79.35
C1.01.09::gfernanda;9;75.61
C1.01.09::gfernanda;10;72.72
C1.03.10.35::rmauricio;1;74.47
C1.03.10.35::rmauricio;2;71.73
C1.03.10.35::rmauricio;3;85.4
C1.03.10.35::rmauricio;4;79.81
C1.03.10.35::rmauricio;5;76.82
C1.03.10.35::rmauricio;6;75.36
C1.03.10.35::rmauricio;7;73.14
C1.03.10.35::rmauricio;8;72.71
C1.03.10.35::rmauricio;9;68.79
C1.03.10.35::rmauricio;10;65.68
C1.01::sqbruno;1;
C1.01::sqbruno;2;
C1.01::sqbruno;3;
C1.01::sqbruno;4;
C1.01::sqbruno;5;
C1.01::sqbruno;6;
C1.01::sqbruno;7;
C1.01::sqbruno;8;
C1.01::sqbruno;9;
C1.01::sqbruno;10;
C1.01::npupo;1;93.78
C1.01::npupo;2;86.36
C1.01::npupo;3;91.36
C1.01::npupo;4;90.89
C1.01::npupo;5;90.29
C1.01::npupo;6;83.67
C1.01::npupo;7;84.09
C1.01::npupo;8;83.85
C1.01::npupo;9;83.74
C1.01::npupo;10;46.0
C1.01::mjulio;1;
C1.01::mjulio;2;
C1.01::mjulio;3;
C1.01::mjulio;4;
C1.01::mjulio;5;
C1.01::mjulio;6;
C1.01::mjulio;7;
C1.01::mjulio;8;
C1.01::mjulio;9;
C1.01::mjulio;10;
C1.01.04::canaguiomar;1;96.87
C1.01.04::canaguiomar;2;94.06
C1.01.04::canaguiomar;3;115.71
C1.01.04::canaguiomar;4;110.34
C1.01.04::canaguiomar;5;90.92
C1.01.04::canaguiomar;6;84.99
C1.01.04::canaguiomar;7;85.05
C1.01.04::canaguiomar;8;84.59
C1.01.04::canaguiomar;9;84.95
C1.01.04::canaguiomar;10;56.07
C1.01.04::smarcia;1;
C1.01.04::smarcia;2;
C1.01.04::smarcia;3;
C1.01.04::smarcia;4;
C1.01.04::smarcia;5;
C1.01.04::smarcia;6;
C1.01.04::smarcia;7;
C1.01.04::smarcia;8;
C1.01.04::smarcia;9;
C1.01.04::smarcia;10;
C1.01.04::ssarah;1;
C1.01.04::ssarah;2;
C1.01.04::ssarah;3;
C1.01.04::ssarah;4;
C1.01.04::ssarah;5;
C1.01.04::ssarah;6;
C1.01.04::ssarah;7;
C1.01.04::ssarah;8;
C1.01.04::ssarah;9;
C1.01.04::ssarah;10;
C1.01.04.02::ldafne;1;99.41
C1.01.04.02::ldafne;2;97.61
C1.01.04.02::ldafne;3;94.58
C1.01.04.02::ldafne;4;94.31
C1.01.04.02::ldafne;5;93.89
C1.01.04.02::ldafne;6;115.0
C1.01.04.02::ldafne;7;119.05
C1.01.04.02::ldafne;8;116.99
C1.01.04.02::ldafne;9;116.73
C1.01.04.02::ldafne;10;113.86
C1.01.04.03::mjanaina;1;97.64
C1.01.04.03::mjanaina;2;97.44
C1.01.04.03::mjanaina;3;96.63
