;Cod.Unico;Categorias;Código da Meta
0;C1::mupriscila;Partage_ADM;
1;C1::ricardo;Partage_ADM;
2;C1.01.07::pcrodrigo;Partage_ADM;GEST_316
2;C1.01.07::pcrodrigo;Partage_ADM;GEST_317
2;C1.01.07::pcrodrigo;Partage_ADM;GEST_315
2;C1.01.07::pcrodrigo;Partage_ADM;GEST_024
2;C1.01.07::pcrodrigo;Partage_ADM;GEST_169
3;C1.04.01::njosiane;Partage_ADM;GEST_104
3;C1.04.01::njosiane;Partage_ADM;GEST_280
3;C1.04.01::njosiane;Partage_ADM;GEST_165
3;C1.04.01::njosiane;Partage_ADM;GEST_084
3;C1.04.01::njosiane;Partage_ADM;GEST_190
4;C1.04.01::OP001ccelso;Partage_ADM;
5;C1.04.01.03::sdaiane;Partage_ADM;GEST_321
5;C1.04.01.03::sdaiane;Partage_ADM;GEST_320
5;C1.04.01.03::sdaiane;Partage_ADM;GEST_164
5;C1.04.01.03::sdaiane;Partage_ADM;GEST_319
5;C1.04.01.03::sdaiane;Partage_ADM;GEST_318
6;C1.01.07.02::rodrigo.andrade;Partage_ADM;GEST_353
6;C1.01.07.02::rodrigo.andrade;Partage_ADM;GEST_354
6;C1.01.07.02::rodrigo.andrade;Partage_ADM;GEST_355
6;C1.01.07.02::rodrigo.andrade;Partage_ADM;GEST_356
6;C1.01.07.02::rodrigo.andrade;Partage_ADM;GEST_357
7;C1.01.07.01::lrichard;Partage_ADM;GEST_162
7;C1.01.07.01::lrichard;Partage_ADM;GEST_163
7;C1.01.07.01::lrichard;Partage_ADM;GEST_141
7;C1.01.07.01::lrichard;Partage_ADM;GEST_150
7;C1.01.07.01::lrichard;Partage_ADM;GEST_140
8;C1.01.08::gmarco;Gestão_S|SE;
9;C1.01.09::gfernanda;Gestão_NE;GEST_310
9;C1.01.09::gfernanda;Gestão_NE;GEST_308
9;C1.01.09::gfernanda;Gestão_NE;GEST_309
9;C1.01.09::gfernanda;Gestão_NE;GEST_306
9;C1.01.09::gfernanda;Gestão_NE;GEST_007
9;C1.01.09::gfernanda;Gestão_NE;GEST_062
10;C1.03.10.35::rmauricio;Gestão_N|CO;GEST_314
10;C1.03.10.35::rmauricio;Gestão_N|CO;GEST_312
10;C1.03.10.35::rmauricio;Gestão_N|CO;GEST_313
10;C1.03.10.35::rmauricio;Gestão_N|CO;GEST_311
10;C1.03.10.35::rmauricio;Gestão_N|CO;GEST_011
10;C1.03.10.35::rmauricio;Gestão_N|CO;GEST_080
11;C1.01::sqbruno;Partage_ADM;
12;C1.01::npupo;Partage_ADM;MKT_004
12;C1.01::npupo;Partage_ADM;MKT_001
12;C1.01::npupo;Partage_ADM;MKT_002
12;C1.01::npupo;Partage_ADM;MKT_005
12;C1.01::npupo;Partage_ADM;MKT_003
13;C1.01::mjulio;Partage_ADM;
14;C1.01.04::canaguiomar;Partage_ADM;MKT_006
14;C1.01.04::canaguiomar;Partage_ADM;MKT_008
14;C1.01.04::canaguiomar;Partage_ADM;MKT_009
14;C1.01.04::canaguiomar;Partage_ADM;MKT_010
14;C1.01.04::canaguiomar;Partage_ADM;MKT_007
15;C1.01.04::smarcia;Partage_ADM;
16;C1.01.04::ssarah;Partage_ADM;
17;C1.01.04.02::ldafne;PSCG;MKT_017
17;C1.01.04.02::ldafne;PSCG;MKT_016
17;C1.01.04.02::ldafne;PSCG;MKT_018
17;C1.01.04.02::ldafne;PSCG;MKT_019
17;C1.01.04.02::ldafne;PSCG;MKT_020
18;C1.01.04.02::ldafne;PSMO;MKT_017
